t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
2.58,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.6,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.62,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.64,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.66,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.68,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.7,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.72,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.74,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.76,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.78,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.8,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.82,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.84,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.86,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.88,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.9,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.92,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.94,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.96,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.98,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.0,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
3.02,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
