timestamp,servo_id,position_deg
1788018685.0308921,6,-149.7070
1788018685.126653,6,-149.7070
1788018685.238797,6,-149.7070
1788018685.3347368,6,-149.7070
1788018685.4307299,6,-149.7070
1788018685.5266821,6,-149.7070
1788018685.638725,6,-149.7070
1788018685.734729,6,-149.7070
1788018685.830863,6,-148.5352
1788018685.9267561,6,-146.4844
1788018686.038767,6,-144.7266
1788018686.1347141,6,-144.1406
1788018686.230787,6,-142.6758
1788018686.326744,6,-141.2109
1788018686.438617,6,-140.0391
1788018686.53471,6,-139.4531
1788018686.630624,6,-139.4531
1788018686.726753,6,-137.4023
1788018686.838668,6,-136.5234
1788018686.934637,6,-135.3516
1788018687.030704,6,-133.5938
1788018687.1266592,6,-131.8359
1788018687.222687,6,-129.7852
1788018687.334644,6,-128.3203
1788018687.430732,6,-126.8555
1788018687.526695,6,-125.9766
1788018687.638581,6,-124.5117
1788018687.734602,6,-123.3398
1788018687.830802,6,-121.8750
1788018687.9267788,6,-120.4102
1788018688.022628,6,-118.6523
1788018688.1345851,6,-117.4805
1788018688.230709,6,-116.3086
1788018688.326665,6,-115.4297
1788018688.422585,6,-114.2578
1788018688.534615,6,-112.2070
1788018688.630722,6,-110.4492
1788018688.726583,6,-109.2773
1788018688.822525,6,-108.3984
1788018688.934655,6,-107.2266
1788018689.0306282,6,-106.0547
1788018689.126563,6,-104.2969
1788018689.222462,6,-103.4180
1788018689.334466,6,-101.6602
1788018689.430649,6,-100.1953
1788018689.526575,6,-99.0234
1788018689.6386209,6,-97.8516
1788018689.734483,6,-96.6797
1788018689.830483,6,-95.2148
1788018689.9266188,6,-93.4570
1788018690.038603,6,-92.2852
1788018690.134596,6,-91.9922
1788018690.230561,6,-91.6992
1788018690.3266602,6,-90.8203
1788018690.438449,6,-89.6484
1788018690.534494,6,-88.7695
1788018690.630527,6,-87.5977
1788018690.726497,6,-86.7188
1788018690.838526,6,-87.0117
1788018690.9344268,6,-87.0117
1788018691.030719,6,-87.0117
1788018691.1265159,6,-86.7188
1788018691.23858,6,-87.0117
1788018691.334422,6,-87.8906
1788018691.4305248,6,-87.8906
1788018691.526456,6,-88.4766
1788018691.638465,6,-88.4766
1788018691.734358,6,-89.3555
1788018691.830334,6,-91.4063
1788018691.926356,6,-92.8711
1788018692.022352,6,-95.2148
1788018692.1344981,6,-96.6797
1788018692.230316,6,-98.7305
1788018692.326519,6,-100.4883
1788018692.422389,6,-101.9531
1788018692.5345101,6,-104.0039
1788018692.6305091,6,-105.7617
1788018692.7266119,6,-107.8125
1788018692.838398,6,-109.5703
1788018692.9343019,6,-111.6211
1788018693.0304651,6,-114.2578
1788018693.126356,6,-116.6016
1788018693.238265,6,-118.9453
1788018693.3343968,6,-120.7031
1788018693.430402,6,-122.7539
1788018693.526345,6,-124.2188
1788018693.622249,6,-125.9766
1788018693.734394,6,-128.0273
1788018693.830424,6,-130.6641
1788018693.926238,6,-132.4219
1788018694.0223129,6,-134.1797
1788018694.134248,6,-136.8164
1788018694.2303529,6,-139.4531
1788018694.3263848,6,-141.2109
1788018694.4383428,6,-142.9688
1788018694.534218,6,-144.4336
1788018694.630372,6,-145.8984
1788018694.726261,6,-147.3633
1788018694.822285,6,-149.4141
1788018694.934318,6,-149.7070
1788018695.030327,6,-149.7070
1788018695.1261492,6,-149.7070
1788018695.222288,6,-149.7070
1788018695.334176,6,-149.7070
1788018695.430275,6,-47.7539
1788018695.5262568,6,32.2266
1788018695.638203,6,32.2266
1788018695.7342029,6,32.5195
1788018695.8301802,6,33.3984
1788018695.9263282,6,33.6914
1788018696.0221682,6,33.6914
1788018696.13423,6,32.8125
1788018696.2302,6,33.9844
1788018696.3262138,6,33.6914
1788018696.438146,6,33.1055
1788018696.534157,6,149.7070
1788018696.630198,6,149.7070
1788018696.7261481,6,149.7070
1788018696.82211,6,149.7070
1788018696.9343019,6,149.7070
1788018697.03014,6,147.6562
1788018697.126157,6,145.0195
1788018697.222028,6,141.5039
1788018697.3340878,6,136.8164
1788018697.430153,6,132.7148
1788018697.526203,6,128.6133
1788018697.6220758,6,124.8047
1788018697.734036,6,120.9961
1788018697.830133,6,118.0664
1788018697.9261482,6,116.0156
1788018698.022063,6,112.7930
1788018698.1351428,6,110.4492
1788018698.230075,6,108.6914
1788018698.326237,6,107.5195
1788018698.4219542,6,106.9336
1788018698.5342138,6,106.6406
1788018698.630177,6,106.3477
1788018698.726153,6,105.4688
1788018698.838043,6,105.1758
1788018698.934151,6,105.1758
1788018699.030009,6,105.1758
1788018699.126146,6,105.1758
1788018699.237969,6,105.1758
1788018699.334322,6,105.1758
1788018699.430146,6,105.1758
1788018699.526029,6,105.4688
1788018699.6379478,6,105.1758
1788018699.734059,6,105.1758
1788018699.830027,6,106.0547
1788018699.926066,6,106.3477
1788018700.03823,6,106.6406
1788018700.134287,6,106.6406
1788018700.22999,6,109.2773
1788018700.3259141,6,111.0352
1788018700.421938,6,112.7930
1788018700.534079,6,116.6016
1788018700.629968,6,118.9453
1788018700.725826,6,122.7539
1788018700.8379588,6,124.8047
1788018700.9341152,6,127.7344
1788018701.0299342,6,130.9570
1788018701.1259992,6,133.3008
1788018701.221952,6,136.2305
1788018701.333944,6,139.1602
1788018701.4299479,6,141.5039
1788018701.52595,6,143.5547
1788018701.6379259,6,143.8477
1788018701.7339551,6,145.0195
1788018701.829935,6,146.1914
1788018701.925899,6,149.1211
1788018702.0217888,6,149.7070
1788018702.1337779,6,149.7070
1788018702.229951,6,35.7422
