step,cos,z,f_thumb,f_index,f_middle
192,0.4427,0.1135,6.719,2.977,3.663
193,0.4428,0.1135,6.754,3.014,3.672
194,0.4436,0.1135,6.791,3.028,3.694
195,0.4441,0.1135,6.747,3.085,3.613
196,0.444,0.1135,6.62,2.874,3.665
197,0.4437,0.1134,6.706,2.96,3.675
198,0.4432,0.1134,6.553,2.905,3.608
199,0.4432,0.1134,6.639,2.97,3.632
200,0.4438,0.1134,6.65,3.059,3.584
201,0.4439,0.1134,6.609,2.962,3.592
202,0.4439,0.1134,6.751,3.035,3.651
203,0.4441,0.1134,6.671,2.997,3.64
204,0.4439,0.1134,6.547,2.912,3.56
205,0.4443,0.1134,6.614,3.002,3.573
206,0.4443,0.1133,6.592,2.846,3.658
207,0.4442,0.1133,6.68,3.007,3.611
208,0.4445,0.1133,6.686,2.968,3.667
209,0.4446,0.1133,6.635,2.898,3.651
210,0.4449,0.1133,6.694,2.962,3.654
211,0.4447,0.1133,6.669,2.926,3.659
212,0.4449,0.1133,6.653,2.867,3.7
213,0.4454,0.1133,6.679,2.957,3.659
214,0.4455,0.1133,6.658,3.051,3.567
215,0.4452,0.1133,6.605,3.035,3.582
216,0.4453,0.1132,6.654,2.979,3.627
217,0.4456,0.1132,6.626,2.941,3.602
218,0.4459,0.1132,6.63,2.907,3.636
219,0.4456,0.1132,6.663,2.956,3.631
220,0.4459,0.1132,6.677,2.995,3.617
221,0.4461,0.1132,6.651,2.877,3.687
222,0.4462,0.1132,6.615,2.942,3.638
223,0.4464,0.1132,6.571,2.881,3.614
224,0.4465,0.1132,6.509,2.853,3.581
225,0.4464,0.1131,6.51,2.888,3.545
226,0.4458,0.1131,6.456,2.836,3.568
227,0.445,0.1131,6.437,2.845,3.523
228,0.4451,0.1131,6.499,2.885,3.574
229,0.4451,0.113,6.393,2.816,3.528
230,0.4452,0.113,6.43,2.815,3.534
231,0.4454,0.113,6.407,2.748,3.567
232,0.4458,0.113,6.575,2.969,3.581
233,0.4463,0.113,6.581,2.955,3.557
234,0.4467,0.113,6.698,3.036,3.611
235,0.4472,0.113,6.725,2.987,3.655
236,0.4474,0.113,6.759,2.984,3.693
237,0.4478,0.113,6.721,3.033,3.641
238,0.4478,0.113,6.59,2.906,3.6
239,0.4478,0.113,6.72,2.993,3.647
240,0.448,0.113,6.68,3.022,3.644
241,0.4476,0.113,6.513,2.857,3.591
242,0.4474,0.1129,6.57,2.885,3.61
243,0.4474,0.1129,6.49,2.767,3.63
244,0.4474,0.1129,6.528,2.86,3.595
245,0.4474,0.1129,6.405,2.735,3.576
246,0.4476,0.1129,6.452,2.842,3.539
247,0.4483,0.1129,6.534,2.889,3.575
248,0.4478,0.1129,6.448,2.809,3.558
249,0.4479,0.1128,6.53,2.916,3.564
