step,cos,z,f_thumb,f_index,f_middle
187,0.9272,0.1317,4.2,1.827,2.355
188,0.9308,0.1318,4.1,1.34,2.67
189,0.9316,0.1319,4.019,1.776,2.242
190,0.934,0.1319,4.076,2.099,1.911
191,0.9346,0.1318,2.984,1.74,1.21
192,0.9373,0.1319,4.269,1.935,2.315
193,0.9354,0.1319,3.666,2.181,1.847
194,0.937,0.1319,4.568,2.399,2.096
195,0.937,0.132,4.581,2.26,2.466
196,0.9387,0.1321,4.445,2.131,2.411
197,0.9403,0.1321,4.154,2.006,2.238
198,0.9419,0.1321,4.338,2.01,2.384
199,0.9402,0.1322,4.796,2.45,2.584
200,0.938,0.1322,4.707,2.583,2.524
201,0.9358,0.1322,4.407,2.473,2.287
202,0.9399,0.1323,5.413,2.675,2.735
203,0.9385,0.1323,4.775,2.665,2.569
204,0.9416,0.1323,5.878,2.929,2.869
205,0.9405,0.1324,5.211,2.9,2.788
206,0.9386,0.1324,5.102,2.765,2.697
207,0.9404,0.1324,5.48,2.494,2.881
208,0.94,0.1325,4.832,2.768,2.589
209,0.9435,0.1325,5.31,2.62,2.624
210,0.9449,0.1326,4.378,2.129,2.225
211,0.9476,0.1326,4.82,2.545,2.21
212,0.9496,0.1327,4.545,2.16,2.423
213,0.9484,0.1326,4.24,2.545,2.324
214,0.9511,0.1327,4.881,2.521,2.293
215,0.9498,0.1327,4.48,2.524,2.283
216,0.9501,0.1327,5.716,2.776,3.142
217,0.9508,0.1328,4.68,2.378,2.388
218,0.9524,0.1328,4.911,2.592,2.246
219,0.9508,0.1327,4.274,2.505,1.996
220,0.9526,0.1328,5.292,2.47,2.723
221,0.9512,0.1328,5.126,2.728,2.768
222,0.9521,0.1328,5.801,3.801,2.075
223,0.9523,0.1329,5.371,3.027,2.359
224,0.9547,0.1329,4.836,2.539,2.248
225,0.9564,0.1329,4.977,2.667,2.388
226,0.96,0.1329,5.275,2.919,2.337
227,0.9594,0.133,4.946,2.751,2.527
228,0.9597,0.1329,5.36,2.834,2.572
229,0.9583,0.1329,5.386,2.938,2.878
230,0.9574,0.1329,5.656,3.394,2.238
231,0.9582,0.1329,5.645,3.488,2.14
232,0.9594,0.1329,6.055,4.043,2.017
233,0.9597,0.1329,5.879,3.556,2.386
234,0.9616,0.1329,6.153,3.251,2.847
235,0.9592,0.1328,5.809,3.353,2.903
236,0.9608,0.1329,6.468,4.048,2.465
237,0.9605,0.1329,5.858,3.119,2.782
238,0.9628,0.1329,6.8,4.138,2.631
239,0.9626,0.1329,5.555,3.102,2.443
240,0.9651,0.133,6.277,3.436,2.784
241,0.9667,0.133,5.712,3.578,2.112
242,0.9675,0.1329,6.566,3.922,2.801
243,0.9682,0.1329,6.326,3.703,2.582
244,0.9677,0.1329,6.05,3.847,2.246
245,0.9688,0.1328,7.43,4.303,3.294
246,0.9682,0.1328,5.943,3.444,2.668
247,0.9699,0.1329,7.347,4.058,3.277
248,0.9683,0.1328,6.221,3.493,2.852
249,0.9695,0.1329,7.512,4.017,3.428
