step,cos,z,f_thumb,f_index,f_middle
209,0.6367,0.1327,11.705,4.095,7.923
210,0.6368,0.1328,11.788,3.956,8.021
211,0.6353,0.1329,11.435,4.314,7.526
212,0.6327,0.1329,11.343,4.642,6.942
213,0.6304,0.1331,11.803,4.454,8.072
214,0.6321,0.133,11.238,4.518,7.026
215,0.6343,0.1329,10.857,4.481,6.964
216,0.6327,0.133,11.569,4.157,7.614
217,0.6316,0.1331,11.286,4.74,6.699
218,0.6298,0.1331,11.26,4.578,6.875
219,0.6293,0.1333,11.625,4.168,7.632
220,0.6279,0.1333,11.442,4.47,7.154
221,0.6256,0.1335,11.79,4.163,8.068
222,0.6257,0.1335,11.442,4.569,7.083
223,0.6275,0.1335,11.53,3.89,8.004
224,0.6284,0.1335,11.42,4.303,7.284
225,0.6308,0.1334,11.001,4.361,7.075
226,0.6308,0.1335,11.548,3.945,7.933
227,0.6301,0.1335,11.519,4.36,7.354
228,0.6304,0.1336,11.411,4.384,7.308
229,0.6311,0.1336,11.479,4.257,7.339
230,0.6367,0.1334,10.411,4.561,6.22
231,0.6401,0.1332,10.72,4.17,6.562
232,0.6403,0.1333,11.191,4.576,6.993
233,0.6412,0.1333,11.049,4.288,6.665
234,0.6408,0.1334,11.262,4.014,7.288
235,0.6418,0.1335,11.584,3.768,7.886
236,0.6425,0.1335,11.098,4.419,6.681
237,0.6429,0.1336,11.597,3.802,7.822
238,0.6412,0.1336,11.224,4.921,6.352
239,0.6423,0.1336,11.17,4.151,6.975
240,0.6382,0.1339,11.684,4.677,7.343
241,0.6379,0.1339,11.16,4.591,6.596
242,0.6369,0.134,11.262,4.492,6.93
243,0.6362,0.1341,11.636,3.974,8.003
244,0.6412,0.1339,10.824,4.377,6.443
245,0.6383,0.1342,11.584,4.176,7.668
246,0.6432,0.134,10.741,3.978,6.827
247,0.6428,0.134,11.118,4.365,6.746
248,0.6426,0.1341,11.419,3.939,7.647
249,0.6416,0.1342,11.366,4.555,6.886
