step,cos,z,f_thumb,f_index,f_middle
214,0.9234,0.1335,10.762,5.313,2.796
215,0.9229,0.1334,11.527,5.942,2.445
216,0.9218,0.1334,11.252,5.744,2.746
217,0.922,0.1334,10.985,5.6,2.588
218,0.9209,0.1333,11.03,6.155,2.669
219,0.921,0.1332,10.84,6.279,2.403
220,0.9201,0.1332,10.915,6.187,2.238
221,0.9209,0.1333,10.791,5.916,2.742
222,0.9197,0.1333,10.928,6.424,2.549
223,0.9214,0.1334,10.915,6.145,2.613
224,0.9207,0.1334,10.921,6.299,2.653
225,0.9211,0.1335,10.838,5.769,2.654
226,0.9196,0.1334,11.116,6.481,2.453
227,0.9197,0.1333,11.25,6.834,2.585
228,0.9218,0.1335,11.547,6.439,3.085
229,0.9239,0.1337,11.44,6.189,3.066
230,0.9242,0.1337,11.216,6.415,2.796
231,0.925,0.1337,11.609,6.724,2.678
232,0.9245,0.1337,11.312,6.749,2.523
233,0.9267,0.1338,11.495,6.796,2.861
234,0.9256,0.1337,11.629,7.047,2.719
235,0.9256,0.1338,11.529,6.464,2.992
236,0.9255,0.134,11.196,5.778,2.872
237,0.9254,0.134,11.045,6.377,2.838
238,0.9273,0.1341,11.062,6.724,2.832
239,0.9285,0.1341,11.243,7.004,2.602
240,0.9299,0.1342,11.692,6.707,3.353
241,0.9311,0.1343,11.716,6.655,2.912
242,0.9312,0.1343,12.039,6.826,2.759
243,0.932,0.1343,11.577,6.827,2.66
244,0.9328,0.1344,11.417,6.639,3.039
245,0.9335,0.1345,11.191,6.838,2.89
246,0.9342,0.1345,12.021,7.17,2.971
247,0.9368,0.1348,11.834,6.556,3.693
248,0.9352,0.1346,11.749,7.306,2.777
249,0.9343,0.1346,11.536,6.934,2.664
