step,cos,z,f_thumb,f_index,f_middle
216,0.9637,0.125,6.056,4.104,2.217
217,0.964,0.1249,7.879,4.87,2.771
218,0.9659,0.125,6.552,3.737,2.792
219,0.9643,0.1249,8.567,5.304,3.349
220,0.9673,0.125,7.481,4.272,2.376
221,0.9682,0.1251,7.983,4.596,2.549
222,0.9678,0.1252,9.159,5.137,2.63
223,0.9668,0.1252,9.453,5.34,3.233
224,0.9686,0.1253,8.287,4.402,2.709
225,0.9687,0.1253,9.355,5.261,3.135
226,0.9682,0.1253,8.05,4.312,3.19
227,0.9661,0.1252,8.829,5.177,2.496
228,0.9675,0.1252,8.173,4.413,2.69
229,0.967,0.1253,8.833,4.589,3.035
230,0.9639,0.1251,7.932,4.666,2.293
231,0.9647,0.1249,8.32,5.469,1.842
232,0.965,0.1249,7.75,4.471,2.968
233,0.9623,0.1248,8.836,5.458,2.761
234,0.9633,0.1249,8.356,4.355,2.847
235,0.9643,0.1248,8.898,5.588,3.026
236,0.9651,0.1249,7.404,3.952,2.789
237,0.9628,0.1248,8.918,5.472,2.889
238,0.9651,0.1249,7.911,4.401,2.735
239,0.9648,0.1249,9.456,5.444,3.001
240,0.9658,0.1251,6.915,3.553,3.036
241,0.963,0.1248,8.314,5.41,2.756
242,0.9652,0.1249,7.2,4.173,2.904
243,0.9645,0.1249,8.805,5.022,3.099
244,0.9624,0.1248,8.278,5.078,2.254
245,0.9605,0.1247,9.209,5.751,3.344
246,0.9615,0.1248,8.898,4.827,2.747
247,0.9605,0.1247,8.693,5.263,2.743
248,0.9631,0.1248,8.389,4.759,2.478
249,0.9639,0.1249,8.668,4.819,2.872
