step,cos,z,f_thumb,f_index,f_middle
202,0.6641,0.1154,5.758,3.754,2.117
203,0.6605,0.1154,6.422,4.713,2.135
204,0.6582,0.1154,6.574,4.328,2.368
205,0.655,0.1154,8.172,4.815,3.396
206,0.6541,0.1154,9.556,4.888,4.59
207,0.661,0.1153,3.076,2.868,0.0
208,0.6666,0.1153,5.165,3.369,2.339
209,0.669,0.1154,10.923,6.996,4.002
210,0.6699,0.1153,8.169,5.287,2.896
211,0.6676,0.1153,5.203,3.298,2.142
212,0.6636,0.1154,5.092,3.273,1.825
213,0.6605,0.1154,4.713,2.827,2.126
214,0.6568,0.1155,6.983,4.552,2.457
215,0.6538,0.1155,7.91,4.879,3.1
216,0.651,0.1155,8.247,4.893,3.376
217,0.6519,0.1156,9.173,4.499,4.684
218,0.6586,0.1155,7.135,4.559,2.794
219,0.6647,0.1155,5.326,3.573,2.171
220,0.6681,0.1155,11.041,7.164,4.016
221,0.671,0.1154,8.031,5.705,2.695
222,0.6681,0.1154,12.082,6.788,5.232
223,0.665,0.1154,9.175,5.003,5.113
224,0.6612,0.1154,6.784,4.847,2.777
225,0.6573,0.1154,7.4,5.023,2.436
226,0.6541,0.1155,7.922,4.895,3.078
227,0.6511,0.1155,8.287,4.928,3.363
228,0.6494,0.1156,9.048,4.822,4.147
229,0.6542,0.1156,9.036,5.144,3.831
230,0.6603,0.1155,5.672,3.791,2.296
231,0.6641,0.1156,11.018,7.172,4.024
232,0.6677,0.1154,6.322,3.74,2.531
233,0.6671,0.1155,12.043,7.331,4.85
234,0.6673,0.1154,11.92,7.247,4.752
235,0.6675,0.1154,11.82,7.185,4.69
236,0.6671,0.1154,11.887,7.215,4.815
237,0.6658,0.1154,12.045,7.333,5.004
238,0.6635,0.1153,12.029,7.207,5.065
239,0.6601,0.1153,11.246,6.466,4.711
240,0.6562,0.1153,6.693,4.965,2.462
241,0.6519,0.1153,6.891,4.862,2.106
242,0.6476,0.1154,7.277,4.978,2.328
243,0.644,0.1154,7.452,5.005,2.493
244,0.6395,0.1155,7.37,5.005,2.394
245,0.6349,0.1156,7.308,4.965,2.37
246,0.6309,0.1157,7.515,4.994,2.569
247,0.6271,0.1157,8.841,5.698,3.119
248,0.6293,0.1157,9.322,4.772,4.531
249,0.6364,0.1157,7.976,4.871,3.318
